"type","name","time_units","begin_time","frequency","count","units"
"signal","","s",0.0000,2000.3556,75600,"uV"

"time","value"
0.2635,-48.8790
0.2640,-68.1062
0.2645,-73.5997
0.2650,-65.9699
0.2655,-51.9309
0.2660,-37.2816
0.2665,-24.7686
0.2670,-16.8336
0.2675,-14.6972
0.2680,-15.9180
0.2685,-15.3076
0.2690,-11.0349
0.2695,-4.0154
0.2700,3.3092
0.2705,11.2443
0.2710,17.0430
0.2715,19.7897
0.2720,20.0949
0.2725,19.7897
0.2730,19.1794
0.2735,17.3482
0.2740,14.9066
0.2745,12.1599
0.2750,9.1079
0.2755,4.8352
0.2760,0.8677
0.2765,-0.3531
0.2770,-0.0479
0.2775,1.1729
0.2780,2.6989
0.2785,5.1404
0.2790,6.9716
0.2795,6.6664
0.2800,5.4456
0.2805,5.1404
0.2810,6.3612
0.2814,6.9716
0.2819,6.0560
0.2824,6.3612
0.2829,8.4976
0.2834,10.6339
0.2839,8.8027
0.2844,4.2248
0.2849,-0.3531
0.2854,-1.5739
0.2859,-0.3531
0.2864,1.7833
0.2869,3.6144
0.2874,5.1404
0.2879,5.4456
0.2884,4.8352
0.2889,2.0885
0.2894,-3.0998
0.2899,-12.5609
0.2904,-23.5479
0.2909,-31.1777
0.2914,-29.9569
0.2919,-21.7167
0.2924,-13.4764
0.2929,-9.5089
0.2934,-7.0674
0.2939,-1.2687
0.2944,7.8872
0.2949,17.6534
0.2954,23.4521
0.2959,23.1469
0.2964,16.1274
0.2969,5.7508
0.2974,-0.3531
0.2979,1.7833
0.2984,10.9391
0.2989,18.2638
0.2994,19.7897
0.2999,17.9586
0.3004,16.7378
0.3009,16.7378
0.3014,16.7378
0.3019,16.1274
0.3024,14.2962
0.3029,13.0755
0.3034,11.8547
0.3039,10.6339
0.3044,7.8872
0.3049,3.6144
0.3054,-0.0479
0.3059,-0.9635
0.3064,0.5625
0.3069,4.2248
0.3074,7.2768
0.3079,6.9716
0.3084,3.3092
0.3089,-0.0479
0.3094,-0.3531
0.3099,-0.6583
0.3104,-5.5414
0.3109,-13.7816
0.3114,-18.6648
0.3119,-15.9180
0.3124,-11.9505
0.3129,-13.7816
0.3134,-20.1907
0.3139,-25.0738
0.3144,-24.4634
0.3149,-19.2751
0.3154,-10.4245
0.3159,-0.3531
0.3164,6.9716
0.3169,7.2768
0.3174,4.2248
0.3179,5.4456
0.3184,12.4651
0.3189,18.2638
0.3194,17.0430
0.3199,12.1599
0.3204,10.3287
0.3209,14.9066
0.3214,22.2313
0.3219,25.8936
0.3224,23.1469
0.3229,17.6534
0.3234,15.8222
0.3239,19.4846
0.3244,24.0625
0.3249,24.6729
0.3254,22.8417
0.3259,22.2313
0.3264,23.7573
0.3269,25.8936
0.3274,28.3352
0.3279,31.3871
0.3284,32.9131
0.3289,31.6923
0.3294,29.5560
0.3299,29.2508
0.3304,29.8612
0.3309,28.6404
0.3314,25.2832
0.3319,21.0105
0.3324,15.5170
0.3329,8.4976
0.3334,2.0885
0.3339,-1.2687
0.3344,-3.0998
0.3349,-4.6258
0.3354,-6.1518
0.3359,-7.9829
0.3364,-10.1193
0.3369,-12.8661
0.3374,-14.6972
0.3379,-15.0024
0.3384,-15.6128
0.3389,-17.4440
0.3394,-18.6648
