"type","name","time_units","begin_time","frequency","count","units"
"signal","","s",0.0000,2000.3556,75600,"uV"

"time","value"
0.2215,133.5903
0.2220,129.0124
0.2225,127.4865
0.2230,125.9605
0.2235,123.5189
0.2240,122.6034
0.2245,123.5189
0.2250,121.9930
0.2255,115.8891
0.2260,108.8696
0.2265,104.5969
0.2270,101.2397
0.2275,96.9670
0.2280,94.5255
0.2285,93.3047
0.2290,90.5579
0.2295,84.1489
0.2300,77.4346
0.2305,72.5515
0.2310,67.6684
0.2315,61.8697
0.2320,56.6814
0.2325,52.1034
0.2330,45.3892
0.2335,35.9281
0.2340,27.6879
0.2345,22.1944
0.2350,16.0905
0.2355,8.4606
0.2360,2.9671
0.2365,-0.3900
0.2370,-5.5783
0.2375,-14.1237
0.2380,-22.0588
0.2385,-27.5523
0.2390,-32.7406
0.2395,-38.8445
0.2400,-42.8120
0.2405,-45.2536
0.2410,-50.7471
0.2415,-60.2081
0.2420,-68.1432
0.2425,-72.1107
0.2430,-76.6886
0.2435,-84.0133
0.2440,-88.2860
0.2445,-88.5912
0.2450,-91.9483
0.2455,-102.9353
0.2460,-111.7860
0.2465,-108.4288
0.2470,-100.4938
0.2475,-102.6301
0.2480,-116.6691
0.2485,-130.0976
0.2490,-134.3703
0.2495,-133.7600
0.2500,-135.8963
0.2505,-140.7794
0.2510,-144.1366
0.2515,-144.4418
0.2520,-143.8314
0.2525,-144.7470
0.2530,-146.8833
0.2535,-149.6301
0.2540,-151.7664
0.2545,-153.2924
0.2550,-154.2080
0.2555,-153.9028
0.2560,-152.0716
0.2565,-151.1560
0.2570,-152.9872
0.2575,-155.7339
0.2580,-156.9547
0.2585,-156.9547
0.2590,-157.5651
0.2595,-157.5651
0.2600,-155.1236
0.2605,-153.5976
0.2610,-155.4288
0.2615,-158.7859
0.2620,-159.0911
0.2625,-156.9547
0.2630,-156.9547
0.2635,-157.2599
0.2640,-154.8184
0.2645,-149.3249
0.2650,-146.2729
0.2655,-147.1885
0.2660,-148.7145
0.2665,-149.0197
0.2670,-148.4093
0.2675,-146.2729
0.2680,-141.6950
0.2685,-137.4223
0.2690,-136.8119
0.2695,-137.4223
0.2700,-135.2859
0.2705,-131.9288
0.2710,-130.7080
0.2715,-129.4872
0.2720,-125.2145
0.2725,-120.3314
0.2730,-119.1106
0.2735,-120.3314
0.2740,-118.5002
0.2745,-114.8379
0.2750,-113.9223
0.2755,-113.9223
0.2760,-109.9548
0.2765,-105.0717
0.2770,-104.1561
0.2775,-106.2925
0.2780,-105.9873
0.2785,-103.2405
0.2790,-102.0197
0.2795,-101.7145
0.2800,-98.0522
0.2805,-92.8639
0.2810,-91.3379
0.2814,-93.1691
0.2819,-92.8639
0.2824,-88.8964
0.2829,-85.5392
0.2834,-83.7081
0.2839,-80.0457
0.2844,-74.8574
0.2849,-73.0263
0.2854,-74.2470
0.2859,-74.8574
0.2864,-73.0263
0.2869,-71.5003
0.2874,-70.2795
0.2879,-67.5328
0.2884,-63.8704
0.2889,-61.7341
0.2894,-61.7341
0.2899,-61.1237
0.2904,-60.2081
0.2909,-58.9873
0.2914,-57.4614
0.2919,-54.1042
0.2924,-51.6627
0.2929,-52.2730
0.2934,-53.7990
0.2939,-52.2730
0.2944,-49.8315
0.2949,-49.5263
0.2954,-50.1367
0.2959,-47.6951
0.2964,-44.0328
0.2969,-43.4224
0.2974,-45.2536
0.2979,-44.6432
0.2984,-41.5912
0.2989,-39.4549
0.2994,-38.5393
0.2999,-35.7925
0.3004,-31.2146
0.3009,-29.0783
0.3014,-29.6887
0.3019,-29.0783
0.3024,-25.4159
0.3029,-22.6692
0.3034,-22.3640
0.3039,-19.3120
0.3044,-12.2926
0.3049,-7.7147
0.3054,-9.5458
0.3059,-12.2926
0.3064,-9.5458
0.3069,-5.5783
0.3074,-5.8835
0.3079,-7.1043
0.3084,-1.9160
0.3089,5.1035
0.3094,5.7139
0.3099,2.0516
0.3104,2.9671
0.3109,8.7658
0.3114,9.6814
0.3119,6.0191
0.3124,9.9866
0.3129,25.8567
0.3134,39.5905
0.3139,36.2333
0.3144,20.9736
0.3149,10.2918
0.3154,11.8178
0.3159,18.8373
0.3164,24.0256
0.3169,24.9411
0.3174,24.9411
0.3179,25.5515
0.3184,27.3827
0.3189,29.2139
0.3194,30.1294
0.3199,32.8762
0.3204,38.3697
0.3209,43.2528
0.3214,43.5580
0.3219,41.1164
0.3224,40.8112
0.3229,43.5580
0.3234,45.6944
0.3239,47.2203
0.3244,50.5775
0.3249,55.1554
0.3254,56.3762
0.3259,53.6294
0.3264,50.5775
0.3269,50.8827
0.3274,52.1034
0.3279,53.9346
0.3284,56.0710
0.3289,57.5969
0.3294,57.2917
0.3299,56.6814
0.3304,57.2917
0.3309,58.2073
0.3314,57.9021
0.3319,58.8177
0.3324,62.4801
0.3329,67.3632
0.3334,68.8891
0.3339,67.6684
0.3344,67.0580
0.3349,68.2787
0.3354,70.4151
0.3359,74.6878
0.3364,80.1813
0.3369,83.5385
0.3374,83.2333
0.3379,82.9281
0.3384,85.3696
0.3389,87.8112
0.3394,89.0320
0.3399,91.7787
0.3404,96.9670
0.3409,99.7138
0.3414,98.1878
0.3419,96.9670
0.3424,99.4086
0.3429,101.8501
0.3434,100.9345
0.3439,101.2397
0.3444,106.4280
0.3449,111.0060
0.3454,109.7852
0.3459,105.8177
0.3464,104.2917
0.3469,104.9021
0.3474,105.2073
0.3479,107.3436
0.3484,111.0060
0.3489,112.2267
0.3494,110.7008
0.3499,111.0060
0.3504,113.1423
0.3509,111.6164
0.3514,107.6488
0.3519,109.1748
0.3524,115.2787
0.3529,116.1943
0.3534,111.0060
0.3539,110.7008
0.3544,114.9735
0.3549,110.7008
0.3554,103.3761
0.3559,129.6228
0.3564,214.7721
0.3569,340.5122
0.3574,469.3042
0.3579,588.0248
0.3584,711.0182
0.3589,850.7972
0.3594,1003.3944
0.3599,1150.4981
0.3604,1265.5564
0.3609,1329.3420
0.3614,1350.7056
0.3619,1357.1147
0.3624,1358.6407
0.3629,1341.2446
0.3634,1305.2317
0.3639,1273.1863
0.3644,1254.5694
0.3649,1227.4071
0.3654,1184.0695
0.3659,1152.3293
0.3664,1148.3618
0.3669,1141.3423
0.3674,1097.6995
0.3679,1032.9983
0.3684,977.7581
0.3689,917.0244
0.3694,815.0895
0.3699,681.4143
0.3704,565.4404
0.3709,483.3431
0.3714,398.8043
0.3719,280.0837
0.3724,142.1358
0.3729,15.7853
0.3734,-91.6431
0.3739,-197.8508
0.3744,-313.5195
0.3749,-431.0193
0.3754,-530.2075
0.3759,-596.4347
0.3764,-634.5840
0.3769,-667.5450
0.3774,-713.0189
0.3779,-770.7007
0.3784,-832.9603
0.3789,-897.0512
0.3794,-962.0576
0.3799,-1024.0120
0.3804,-1081.3886
0.3809,-1131.7457
0.3814,-1168.9794
0.3819,-1189.7326
0.3824,-1207.4339
0.3829,-1240.3949
0.3834,-1285.8688
0.3839,-1325.8493
0.3844,-1359.4207
0.3849,-1403.0635
0.3854,-1453.1154
0.3859,-1476.9205
0.3864,-1461.0504
0.3869,-1435.7193
0.3874,-1436.6349
0.3879,-1460.7452
0.3884,-1482.7192
0.3889,-1495.2322
0.3894,-1506.5244
0.3899,-1515.0698
0.3904,-1512.6283
0.3909,-1504.3880
0.3914,-1506.5244
0.3919,-1520.2581
0.3924,-1531.8555
0.3929,-1533.0763
0.3934,-1527.2776
0.3939,-1517.2062
0.3944,-1500.7257
0.3949,-1479.0569
0.3954,-1455.8621
0.3959,-1432.0570
0.3964,-1404.5895
0.3969,-1371.9337
0.3974,-1332.5636
0.3979,-1285.2585
0.3984,-1232.7650
0.3989,-1179.9664
0.3994,-1129.6093
0.3999,-1084.4405
0.4004,-1048.1224
0.4009,-1019.7393
0.4014,-988.6095
0.4019,-949.2394
0.4024,-916.5836
0.4029,-904.3758
0.4034,-898.2719
0.4039,-874.7720
0.4044,-843.0318
0.4049,-832.0448
0.4054,-834.7915
0.4059,-809.1552
0.4064,-744.4540
0.4069,-684.3307
0.4074,-659.3047
0.4079,-642.8242
0.4084,-603.4541
0.4089,-564.0841
0.4094,-558.5906
0.4099,-563.1685
0.4104,-526.5452
0.4109,-450.2466
0.4114,-386.7661
0.4119,-360.5194
0.4124,-338.2402
0.4129,-291.2403
0.4134,-233.2533
0.4139,-188.6949
0.4144,-154.2080
0.4149,-115.7535
0.4154,-75.7730
0.4159,-41.5912
0.4164,-7.4095
0.4169,35.6229
0.4174,84.7592
0.4179,129.3176
0.4184,168.6877
0.4189,207.4474
0.4194,245.2915
0.4199,276.7265
0.4204,302.6681
0.4209,330.1355
0.4214,363.7069
0.4219,399.7199
0.4224,431.4601
0.4229,457.4016
0.4234,481.5120
0.4239,503.4860
0.4244,515.0834
0.4249,514.4730
0.4254,522.1028
0.4259,560.2521
0.4264,623.7326
0.4269,679.5831
0.4274,707.9662
0.4279,721.7000
0.4284,738.7909
0.4289,758.3233
0.4294,770.8363
0.4299,779.3817
0.4304,791.5895
0.4309,802.8817
0.4314,803.1869
0.4319,797.3882
0.4324,797.0830
0.4329,804.1025
0.4334,811.4271
0.4339,816.6154
0.4344,819.9726
0.4349,816.9206
0.4354,805.6284
0.4359,792.8103
0.4364,784.8752
0.4369,779.3817
0.4374,774.8038
0.4379,776.3298
0.4384,783.6544
0.4389,783.3492
0.4394,767.1739
0.4399,748.2519
0.4404,747.0311
0.4409,766.2584
0.4414,789.4531
0.4419,800.7453
0.4424,798.3038
0.4429,788.5375
0.4434,780.6025
0.4439,777.5505
0.4444,771.1415
0.4449,754.3558
0.4454,735.4337
0.4459,733.2974
0.4464,750.3882
0.4469,762.5960
0.4474,749.7779
0.4479,721.3948
0.4484,701.5571
0.4489,696.9792
0.4494,693.3169
0.4499,680.8039
0.4504,666.4598
0.4509,661.5767
0.4514,663.7130
0.4519,659.4403
0.4524,646.0118
0.4529,636.5507
0.4534,643.8754
0.4539,657.3040
0.4544,656.6936
0.4549,646.6221
0.4554,663.1026
0.4559,730.2454
0.4564,829.7388
0.4569,923.7387
0.4574,999.4269
0.4579,1069.3164
0.4584,1140.1215
0.4589,1203.6019
0.4594,1256.0954
0.4599,1304.0109
0.4604,1350.0953
0.4609,1387.9394
0.4614,1415.4069
0.4619,1439.5172
0.4624,1462.7120
0.4629,1480.7185
0.4634,1492.9262
0.4639,1502.6925
0.4644,1510.6275
0.4649,1512.1535
0.4654,1506.6600
0.4659,1498.1145
0.4664,1488.6535
0.4669,1476.1405
0.4674,1461.4912
0.4679,1446.2315
0.4684,1428.5302
0.4689,1405.0303
0.4694,1377.5628
0.4699,1350.7056
0.4704,1323.5433
0.4709,1292.7187
0.4714,1259.4525
0.4719,1227.7123
0.4724,1195.0565
0.4729,1158.4332
0.4734,1117.8423
0.4739,1077.5567
0.4744,1038.1866
0.4749,997.9009
0.4754,957.3101
0.4759,917.9400
0.4764,876.1283
0.4769,829.7388
0.4774,782.4337
0.4779,738.1805
0.4784,695.1481
0.4789,649.6741
0.4794,603.2845
0.4799,560.2521
0.4804,519.0509
0.4809,474.7977
0.4814,427.1874
0.4819,380.7978
0.4824,337.1550
0.4829,293.2070
0.4834,249.2590
0.4839,207.7526
0.4844,168.0773
0.4849,126.5709
0.4854,82.0125
0.4859,37.7593
0.4864,-3.7471
0.4869,-44.9484
0.4874,-84.6237
0.4879,-121.8574
0.4884,-158.4807
0.4889,-197.5456
0.4894,-237.8312
0.4899,-275.0650
0.4904,-309.8571
0.4909,-346.4805
0.4914,-383.4090
0.4919,-415.7596
0.4924,-445.0582
0.4929,-478.6296
0.4934,-515.8634
0.4939,-549.1295
0.4944,-576.5970
0.4949,-604.6749
0.4954,-636.1099
0.4959,-663.2722
0.4964,-684.6359
0.4969,-708.1358
0.4974,-738.0449
0.4979,-766.4280
0.4984,-788.0968
0.4989,-810.0708
0.4994,-836.6227
0.4999,-858.9019
0.5004,-872.3304
0.5009,-888.2005
0.5014,-914.7524
0.5019,-939.1680
0.5024,-947.1030
0.5029,-947.7134
0.5034,-962.9732
0.5039,-992.2718
0.5044,-1014.8562
0.5049,-1022.7913
0.5054,-1028.8952
0.5059,-1043.8497
0.5064,-1061.2458
0.5069,-1072.2328
0.5074,-1078.9470
0.5079,-1085.0509
0.5084,-1090.8496
0.5089,-1096.0379
0.5094,-1102.4470
0.5099,-1109.1613
0.5104,-1114.0444
0.5109,-1117.0963
0.5114,-1120.1483
0.5119,-1121.3691
0.5124,-1119.2327
0.5129,-1118.3171
0.5134,-1121.9794
0.5139,-1126.5574
0.5144,-1126.2522
0.5149,-1122.8950
0.5154,-1121.0639
0.5159,-1119.2327
0.5164,-1113.1288
0.5169,-1107.0249
0.5174,-1105.1938
0.5179,-1104.5834
0.5184,-1100.0054
0.5189,-1092.3756
0.5194,-1086.8821
0.5199,-1081.6938
0.5204,-1072.5380
0.5209,-1062.4665
0.5214,-1056.9730
0.5219,-1053.3107
0.5224,-1045.9860
0.5229,-1036.5250
0.5234,-1027.9796
0.5239,-1018.8237
0.5244,-1005.3952
0.5249,-991.6614
0.5254,-982.8108
0.5259,-976.4017
0.5264,-966.9407
0.5269,-955.3433
0.5274,-943.7459
0.5279,-931.2329
0.5284,-915.3628
0.5289,-899.1875
0.5294,-887.5901
0.5299,-877.2135
0.5304,-864.7006
0.5309,-851.2720
0.5314,-838.4538
0.5319,-823.1941
0.5324,-803.9669
0.5329,-785.9604
0.5334,-773.4474
0.5339,-762.4604
0.5344,-747.8111
0.5349,-730.1098
0.5354,-713.6293
0.5359,-697.4540
0.5364,-679.4476
0.5369,-661.1359
0.5374,-645.8762
0.5379,-630.9216
0.5384,-614.4411
0.5389,-597.6555
0.5394,-581.4801
0.5399,-563.4737
0.5404,-543.0257
0.5409,-524.4088
0.5414,-509.4543
0.5419,-494.8049
0.5424,-478.0192
0.5429,-460.9284
0.5434,-445.0582
0.5439,-427.3570
0.5444,-406.6038
0.5449,-387.0713
0.5454,-371.8116
0.5459,-357.7726
0.5464,-342.8181
0.5469,-327.2532
0.5474,-311.9935
0.5479,-294.2922
0.5484,-274.4546
0.5489,-257.0585
0.5494,-243.0196
0.5499,-227.4546
0.5504,-210.0586
0.5509,-194.4936
0.5514,-180.7599
0.5519,-163.9742
0.5524,-144.1366
0.5529,-127.3509
0.5534,-115.7535
0.5539,-102.9353
0.5544,-86.7600
0.5549,-71.8055
0.5554,-59.9029
0.5559,-45.2536
0.5564,-27.2471
0.5569,-12.5978
0.5574,-3.7471
