"type","name","time_units","begin_time","frequency","count","units"
"signal","","s",0.0000,2000.3556,146960,"uV"

"time","value"
0.2745,-56.4770
0.2750,-56.7822
0.2755,-48.2367
0.2760,-23.8212
0.2765,34.7761
0.2770,118.0942
0.2775,175.7760
0.2780,169.6721
0.2785,126.3345
0.2790,101.3085
0.2795,106.4968
0.2800,107.4124
0.2805,82.0813
0.2810,45.7631
0.2814,20.1268
0.2819,11.8866
0.2824,22.2632
0.2829,48.8151
0.2834,71.7047
0.2839,65.9060
0.2844,33.8606
0.2849,5.1723
0.2854,-3.0680
0.2859,-5.8147
0.2864,-17.1069
0.2869,-30.5355
0.2874,-35.7238
0.2879,-33.8926
0.2884,-29.6199
0.2889,-21.9900
0.2894,-11.9186
0.2899,-5.2043
0.2904,-1.5420
0.2909,7.6138
0.2914,27.1463
0.2919,51.8670
0.2924,75.0618
0.2929,92.1527
0.2934,97.0358
0.2939,87.8800
0.2944,70.7891
0.2949,54.0034
0.2954,36.9125
0.2959,17.0749
0.2964,2.7307
0.2969,1.8152
0.2974,7.6138
0.2979,8.5294
0.2984,5.7827
0.2989,7.0035
0.2994,8.8346
0.2999,4.8671
0.3004,-0.6264
0.3009,1.2048
0.3014,5.4775
0.3019,-0.9316
0.3024,-17.7173
0.3029,-32.9770
0.3034,-43.3536
0.3039,-58.6133
0.3044,-81.8081
0.3049,-107.7496
0.3054,-134.3016
0.3059,-160.8535
0.3064,-178.8599
0.3069,-174.5872
0.3074,-142.8470
0.3079,-88.2172
0.3084,-18.0225
0.3089,52.4774
0.3094,96.7306
0.3099,97.6462
0.3104,71.3995
0.3109,53.0878
0.3114,56.1398
0.3119,67.1268
0.3124,71.7047
0.3129,71.3995
0.3134,70.1787
0.3139,64.6852
0.3144,56.4450
0.3149,57.0553
0.3154,70.1787
0.3159,82.6917
0.3164,79.9449
0.3169,64.9904
0.3174,52.1722
0.3179,46.9839
0.3184,43.3216
0.3189,36.9125
0.3194,32.0294
0.3199,33.5554
0.3204,35.3865
0.3209,27.4515
0.3214,10.3606
0.3219,0.2892
0.3224,11.2762
0.3229,33.8606
0.3234,45.4580
0.3239,34.1658
0.3244,13.1073
0.3249,0.5944
0.3254,-0.9316
0.3259,-0.0160
0.3264,-0.6264
0.3269,-0.6264
0.3274,-0.0160
0.3279,-1.2368
0.3284,-5.8147
0.3289,-10.6978
0.3294,-13.4446
0.3299,-14.9705
0.3304,-15.5809
0.3309,-16.1913
0.3314,-19.2433
0.3319,-23.8212
0.3324,-25.0420
0.3329,-21.0744
0.3334,-17.7173
0.3339,-21.3796
0.3344,-28.3991
0.3349,-29.3147
0.3354,-23.8212
0.3359,-20.1588
0.3364,-25.3472
0.3369,-35.7238
