"type","name","time_units","begin_time","frequency","count","units"
"signal","","s",0.0000,2000.3556,146960,"uV"

"time","value"
0.2330,3.6514
0.2335,-11.9136
0.2340,-20.4590
0.2345,-16.1863
0.2350,-8.5564
0.2355,-7.0305
0.2360,-10.6928
0.2365,-11.9136
0.2370,-6.1149
0.2375,3.9565
0.2380,15.8591
0.2385,24.4046
0.2390,26.5409
0.2395,22.8786
0.2400,19.2163
0.2405,21.0474
0.2410,25.6253
0.2415,26.8461
0.2420,21.3526
0.2425,13.7228
0.2430,8.2293
0.2435,7.0085
0.2440,9.4500
0.2445,14.6384
0.2450,20.7422
0.2455,25.6253
0.2460,28.3721
0.2465,30.2033
0.2470,31.1188
0.2475,29.5929
0.2480,25.9305
0.2485,21.0474
0.2490,16.7747
0.2495,13.4176
0.2500,10.0604
0.2505,7.3137
0.2510,6.0929
0.2515,6.3981
0.2520,5.7877
0.2525,2.1254
0.2530,-4.2837
0.2535,-9.4720
0.2540,-10.6928
0.2545,-8.2512
0.2550,-4.5889
0.2555,-0.3162
0.2560,5.4825
0.2565,10.9760
0.2570,13.1124
0.2575,13.1124
0.2580,16.7747
0.2585,25.0150
0.2590,30.5085
0.2595,28.3721
0.2600,23.7942
0.2605,24.7098
0.2610,29.8981
0.2615,33.2552
0.2620,33.5604
0.2625,35.0864
0.2630,39.0539
0.2635,42.1058
0.2640,42.4110
0.2645,40.2747
0.2650,32.9500
0.2655,14.6384
0.2660,-9.4720
0.2665,-26.8681
0.2670,-32.0564
0.2675,-32.9720
0.2680,-39.9914
0.2685,-49.7577
0.2690,-53.7252
0.2695,-52.1992
0.2700,-52.5044
0.2705,-55.5564
0.2710,-55.8616
0.2715,-52.8096
0.2720,-53.7252
0.2725,-59.8291
0.2730,-61.9654
0.2735,-49.4525
0.2740,-21.9850
0.2745,7.6189
0.2750,26.8461
0.2755,29.8981
0.2760,23.4890
0.2765,18.6059
0.2770,17.3851
0.2775,10.0604
0.2780,-9.7772
0.2785,-34.1928
0.2790,-47.6213
0.2795,-46.7057
0.2800,-40.6018
0.2805,-33.5824
0.2810,-19.2382
0.2814,4.2617
0.2819,30.8137
0.2824,52.7877
0.2829,68.0474
0.2834,75.3720
0.2839,71.7097
0.2844,60.1123
